year, month, day
1849, 6, 21
1849, 7, 16
1849, 8, 20
1849, 10, 8
1849, 11, 15
1849, 12, 14
1849, 12, 31
1850, 3, 3
1850, 5, 18
1850, 6, 13
1850, 7, 6
1850, 8, 2
1850, 9, 9
1850, 9, 20
1850, 9, 23
1850, 10, 16
1850, 10, 20
1850, 11, 4
1850, 11, 24
1850, 11, 26
1850, 11, 27
1850, 12, 1
1850, 12, 31
1851, 1, 18
1851, 1, 21
1851, 1, 28
1851, 3, 16
1851, 3, 26
1851, 3, 26
1851, 4, 12
1851, 5, 4
1851, 5, 21
1851, 6, 1
1851, 6, 22
1851, 7, 12
1851, 8, 9
1851, 8, 25
1851, 10, 25
1851, 11, 9
1851, 11, 11
1851, 12, 30
1852, 1, 24
1852, 2, 1
1852, 2, 23
1852, 4, 26
1852, 4, 29
1852, 7, 24
1852, 9, 2
1852, 9, 13
1852, 11, 3
1852, 11, 3
1852, 12, 24
1853, 2, 1
1853, 3, 25
1853, 6, 13
1853, 7, 5
1853, 8, 1
1853, 8, 1
1853, 8, 3
1853, 9, 12
1853, 9, 18
1853, 9, 18
1853, 10, 10
1853, 11, 3
1853, 12, 2
1853, 12, 20
1854, 1, 18
1854, 3, 16
1854, 4, 5
1854, 5, 11
1854, 5, 15
1854, 5, 20
1854, 5, 22
1854, 6, 4
1854, 6, 5
1854, 6, 9
1854, 7, 7
1854, 8, 22
1854, 9, 8
1854, 9, 14
1854, 10, 1
1854, 10, 11
1855, 1, 14
1855, 1, 25
1855, 1, 28
1855, 4, 20
1855, 6, 2
1855, 6, 2
1855, 7, 10
1855, 7, 28
1855, 8, 21
1855, 10, 24
1855, 11, 17
1855, 11, 29
1855, 12, 21
1856, 1, 22
1856, 2, 1
1856, 4, 18
1856, 5, 3
1856, 5, 13
1856, 5, 15
1856, 5, 26
1856, 7, 5
1856, 7, 5
1856, 7, 18
1856, 10, 9
1857, 1, 20
1857, 1, 28
1857, 3, 4
1857, 3, 8
1857, 3, 16
1857, 3, 21
1857, 7, 6
1857, 7, 20
1857, 7, 28
1857, 7, 29
1857, 9, 28
1857, 12, 3
1857, 12, 13
1857, 12, 22
1858, 6, 4
1858, 7, 1
1858, 7, 1
1858, 7, 13
1858, 8, 1
1858, 11, 5
1858, 11, 29
1858, 12, 8
1859, 1, 23
1859, 2, 7
1859, 2, 14
1859, 2, 18
1859, 3, 5
1859, 3, 8
1859, 7, 7
1859, 8, 16
1859, 10, 26
1859, 11, 10
1859, 11, 29
1859, 12, 6
1859, 12, 16
1860, 1, 1
1860, 2, 21
1860, 5, 18
1860, 8, 7
1860, 10, 23
1860, 10, 23
1860, 10, 23
1860, 10, 31
1860, 12, 1
1860, 12, 15
1861, 1, 1
1861, 3, 1
1861, 4, 20
1861, 10, 29
1861, 11, 7
1862, 1, 13
1862, 3, 1
1862, 3, 10
1862, 3, 17
1862, 3, 23
1862, 3, 23
1862, 4, 6
1862, 4, 7
1862, 5, 7
1862, 7, 17
1862, 9, 1
1862, 10, 22
1862, 11, 30
1863, 1, 18
1863, 5, 3
1863, 6, 4
1863, 6, 4
1863, 6, 4
1863, 6, 10
1863, 6, 14
1863, 7, 2
1863, 7, 8
1863, 8, 1
1863, 8, 22
1863, 8, 30
1863, 9, 11
1863, 11, 2
1864, 2, 14
1864, 2, 24
1864, 3, 1
1864, 7, 6
1864, 8, 3
1864, 9, 1
1864, 9, 15
1865, 1, 13
1865, 1, 31
1865, 3, 1
1865, 3, 15
1865, 3, 28
1865, 4, 18
1865, 6, 3
1865, 7, 7
1865, 7, 7
1865, 7, 7
1865, 10, 17
1865, 11, 5
1866, 1, 20
1866, 5, 23
1866, 7, 18
1866, 8, 20
1866, 12, 10
1867, 3, 25
1867, 7, 11
1867, 10, 1
1867, 10, 6
1867, 10, 9
1867, 12, 15
1867, 12, 25
1868, 5, 30
1868, 5, 30
1868, 6, 11
1868, 8, 25
1868, 10, 21
1868, 11, 8
1868, 12, 1
1868, 12, 13
1868, 12, 15
1868, 12, 25
1869, 1, 22
1869, 1, 24
1869, 2, 23
1869, 3, 2
1869, 3, 10
1869, 4, 3
1869, 4, 6
1869, 4, 20
1869, 7, 15
1869, 7, 20
1869, 9, 23
1869, 9, 23
1869, 10, 14
1869, 10, 18
1869, 11, 3
1869, 11, 4
1869, 11, 8
1869, 11, 15
1869, 11, 15
1869, 11, 25
1869, 12, 15
1870, 1, 13
1870, 1, 23
1870, 2, 8
1870, 3, 10
1870, 3, 11
1870, 7, 4
1870, 7, 30
1870, 9, 4
1870, 10, 21
1870, 11, 3
1870, 11, 26
1870, 12, 12
1870, 12, 18
1870, 12, 31
1871, 1, 25
1871, 4, 18
1871, 5, 10
1871, 6, 9
1871, 6, 12
1871, 6, 26
1871, 7, 3
1871, 7, 4
1871, 8, 12
1871, 9, 3
1871, 9, 3
1871, 9, 4
1871, 10, 9
1871, 10, 16
1871, 11, 7
1871, 11, 14
1872, 1, 11
1872, 1, 24
1872, 2, 9
1872, 3, 13
1872, 4, 2
1872, 5, 4
1872, 5, 14
1872, 5, 25
1872, 6, 21
1872, 6, 25
1872, 6, 29
1872, 6, 30
1872, 7, 5
1872, 7, 7
1872, 7, 14
1872, 7, 24
1872, 7, 29
1872, 8, 2
1872, 8, 2
1872, 10, 9
1872, 11, 27
1873, 1, 1
1873, 1, 29
1873, 1, 29
1873, 2, 13
1873, 2, 25
1873, 3, 29
1873, 4, 10
1873, 4, 10
1873, 5, 5
1873, 5, 25
1873, 5, 28
1873, 6, 30
1873, 8, 11
1873, 9, 3
1873, 9, 17
1873, 9, 28
1873, 10, 16
1873, 11, 1
1873, 11, 1
1873, 12, 31
1874, 1, 18
1874, 1, 18
1874, 3, 21
1874, 3, 23
1874, 4, 5
1874, 4, 7
1874, 4, 8
1874, 4, 11
1874, 4, 12
1874, 4, 28
1874, 4, 30
1874, 5, 9
1874, 5, 9
1874, 5, 16
1874, 7, 11
1874, 7, 24
1874, 7, 28
1874, 8, 5
1874, 9, 5
1874, 9, 10
1874, 9, 27
1874, 9, 30
1874, 10, 14
1874, 10, 14
1874, 10, 17
1874, 10, 25
1874, 10, 31
1874, 11, 2
1874, 11, 2
1874, 11, 10
1874, 11, 14
1874, 11, 22
1874, 12, 4
1874, 12, 7
1874, 12, 9
1874, 12, 20
1875, 1, 2
1875, 1, 3
1875, 1, 7
1875, 1, 7
1875, 1, 23
1875, 1, 28
1875, 1, 30
1875, 3, 14
1875, 4, 17
1875, 4, 25
1875, 5, 18
1875, 5, 20
1875, 5, 30
1875, 5, 30
1875, 7, 23
1875, 8, 9
1875, 8, 18
1875, 8, 22
1875, 8, 22
1875, 8, 22
1875, 9, 1
1875, 9, 11
1875, 9, 22
1875, 10, 7
1875, 10, 23
1875, 10, 24
1875, 10, 29
1875, 11, 13
1875, 12, 10
1875, 12, 11
1875, 12, 11
1875, 12, 13
1875, 12, 25
1876, 1, 20
1876, 2, 29
1876, 4, 25
1876, 5, 15
1876, 6, 11
1876, 6, 27
1876, 7, 4
1876, 7, 15
1876, 8, 11
1876, 8, 28
1876, 9, 14
1876, 10, 2
1876, 10, 6
1876, 11, 20
1876, 11, 21
1876, 11, 21
1876, 11, 22
1876, 12, 20
1876, 12, 20
1876, 12, 26
1876, 12, 29
1876, 12, 29
1877, 1, 2
1877, 2, 14
1877, 2, 26
1877, 3, 1
1877, 3, 10
1877, 3, 10
1877, 3, 24
1877, 3, 30
1877, 3, 30
1877, 4, 4
1877, 4, 13
1877, 4, 20
1877, 4, 26
1877, 6, 16
1877, 6, 22
1877, 7, 7
1877, 7, 24
1877, 7, 25
1877, 8, 5
1877, 8, 7
1877, 9, 8
1877, 9, 9
1877, 9, 12
1877, 9, 16
1877, 9, 21
1877, 9, 24
1877, 9, 30
1877, 9, 30
1877, 10, 15
1877, 11, 2
1877, 11, 9
1877, 11, 11
1877, 11, 20
1877, 12, 3
1877, 12, 15
1877, 12, 16
1878, 1, 1
1878, 1, 6
1878, 1, 12
1878, 2, 1
1878, 2, 8
1878, 2, 26
1878, 3, 8
1878, 4, 7
1878, 4, 12
1878, 5, 20
1878, 5, 21
1878, 5, 22
1878, 6, 17
1878, 6, 17
1878, 6, 18
1878, 7, 16
1878, 8, 1
1878, 8, 4
1878, 8, 14
1878, 9, 30
1878, 10, 4
1878, 10, 11
1878, 11, 7
1878, 11, 21
1878, 11, 24
1879, 1, 4
1879, 2, 25
1879, 4, 18
1879, 4, 22
1879, 4, 25
1879, 6, 11
1879, 6, 15
1879, 6, 17
1879, 6, 26
1879, 6, 27
1879, 7, 7
1879, 7, 16
1879, 7, 29
1879, 8, 30
1879, 9, 2
1879, 9, 8
1879, 9, 9
1879, 10, 12
1879, 10, 23
1879, 10, 29
1879, 10, 29
1879, 11, 1
1879, 11, 2
1879, 11, 10
1879, 12, 3
1879, 12, 3
1879, 12, 11
1879, 12, 19
1880, 2, 1
1880, 3, 17
1880, 3, 21
1880, 4, 8
1880, 4, 23
1880, 5, 11
1880, 6, 18
1880, 7, 5
1880, 7, 10
1880, 7, 25
1880, 8, 4
1880, 8, 18
1880, 9, 11
1880, 10, 4
1880, 10, 6
1880, 10, 23
1880, 10, 30
1880, 11, 4
1880, 12, 21
1881, 3, 17
1881, 3, 28
1881, 4, 22
1881, 5, 1
1881, 6, 9
1881, 7, 4
1881, 7, 6
1881, 7, 21
1881, 7, 30
1881, 8, 25
1881, 9, 5
1881, 9, 14
1881, 10, 27
1881, 11, 2
1881, 11, 23
1881, 11, 25
1881, 12, 5
1881, 12, 13
1881, 12, 31
1882, 2, 6
1882, 2, 15
1882, 3, 27
1882, 3, 28
1882, 4, 1
1882, 5, 7
1882, 5, 7
1882, 6, 5
1882, 6, 11
1882, 7, 4
1882, 7, 18
1882, 8, 6
1882, 8, 10
1882, 8, 23
1882, 8, 24
1882, 10, 5
1882, 10, 9
1882, 12, 6
1882, 12, 15
1882, 12, 25
1883, 1, 8
1883, 1, 12
1883, 1, 13
1883, 1, 23
1883, 2, 17
1883, 3, 12
1883, 4, 21
1883, 5, 24
1883, 6, 8
1883, 7, 4
1883, 7, 4
